window,gaussian_id,affected_bR,bR_total,A_n,A_c,A_opportunity,D_opportunity,A_support,D_support,A_cap,D_cap,A_G0,D_G0,A_simple,D_simple,A_oac,D_oac,delta_G0,delta_simple,delta_OAC,delta_OAC_minus_delta_G0,A_low_evidence,D_low_evidence,A_OAC_above_threshold,D_OAC_above_threshold,A_OAC_topK,D_OAC_topK
W1,43131,0,0.0,97.0,78.0,66.34781243110905,66.34781243110905,58,58,0,0,4.2138154842329234e-05,4.2138154842329234e-05,0.00013258346362608503,0.00013258346362608503,6.049873467271023e-05,6.049873467271023e-05,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,44187,1,2.264626979827881,99.0,98.0,77.27503355181196,77.27503355181196,69,69,0,0,5.542695299882671e-05,5.388486809495182e-05,9.432952934754937e-05,9.16393992365123e-05,7.024267981679442e-05,6.828839277244816e-05,-1.5420849038748919e-06,-2.6901301110370598e-06,-1.9542870443462612e-06,-4.1220214047136937e-07,0,0,0,0,0,0
W1,44450,0,0.0,18.0,18.0,18.0,18.0,15,15,0,0,0.0003910800458268366,0.0003910800458268366,0.00038320871798154423,0.00038320871798154423,0.0003910800458268366,0.0003910800458268366,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,44747,0,0.0,62.0,52.0,47.31420403676119,47.31420403676119,43,43,0,0,0.00025568092734734057,0.00025568092711263226,0.0004793679415807254,0.0004793679411576718,0.00032885516830457646,0.0003288551680026961,-2.347083031400965e-13,-4.230536277197161e-13,-3.0188037399708767e-13,-6.717207085699117e-14,0,0,0,0,0,0
W1,45916,0,0.0,78.0,70.0,60.22130749015708,60.22130749015708,54,54,0,0,0.00010389551548411893,0.00010389551548411893,0.00014350715938271446,0.00014350715938271446,0.00013265740924074906,0.00013265740924074906,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,46030,0,0.0,96.0,62.0,51.49180685264491,51.49180685264491,46,46,0,0,0.00011860815513307949,0.00011860815513307949,0.00039048278371844533,0.00039048278371844533,0.0002137399408313306,0.0002137399408313306,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,46617,0,0.0,96.0,90.0,80.63626099103801,80.63626099103801,71,71,0,0,0.00016407165427434478,0.00016407165427434478,0.00031066570137883734,0.00031066570137883734,0.00019385503607220793,0.00019385503607220793,0.0,0.0,0.0,0.0,0,0,0,0,0,0
W1,47608,1,3.301241874694824,100.0,99.0,83.08184707377757,83.53938028524624,75,76,0,0,0.0003808340823652756,0.0003799668727642924,0.0005287667878083141,0.0005242256967083593,0.00045482205415823347,0.0004514146049323412,-8.672096009832071e-07,-4.5410910999547785e-06,-3.4074492258922466e-06,-2.5402396249090396e-06,0,0,0,0,0,0
W1,47831,0,0.0,70.0,59.0,55.96802857978143,55.96802857978143,49,49,0,0,0.00012253191286109655,0.00012253191120451692,0.0005929126547929364,0.0005929126506009899,0.00015120326224594714,0.000151203260201743,-1.6565796314999687e-12,-4.191946486112319e-12,-2.0442041343080725e-12,-3.876245028081038e-13,0,0,0,0,0,0
W1,48147,0,0.0,99.0,96.0,73.0,73.0,61,61,0,0,0.00024080412384352764,0.00024080412384352764,0.0005179197674758445,0.0005179197674758445,0.00032211460721926426,0.00032211460721926426,0.0,0.0,0.0,0.0,0,0,0,0,0,0
